PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	function	gene
< -2.46131	≥ -0.323711	≥ 0.125754	< 0.0172426	< 0.116722	< -0.0670098	≥ -0.0921005	≥ -0.0103348	≥ -0.103436	< -0.0742138	≥ 0.0567379	≥ 0.0512376	< -0.128749	< -0.0386652	≥ -0.0530638	< -0.067954	≥ -0.0273938	≥ 0.0347436	≥ -0.0444716	< 0.0342379	< 0.0432133	≥ 0.0525043	≥ 0.0549996	≥ -0.0669247	< 0.0027569	Ribo	YPR102C
< -2.46131	≥ -0.323711	≥ 0.125754	< 0.0172426	< 0.116722	< -0.0670098	< -0.0921005	≥ -0.0103348	< -0.103436	≥ -0.0742138	≥ 0.0567379	< 0.0512376	< -0.128749	< -0.0386652	≥ -0.0530638	≥ -0.067954	< -0.0273938	≥ 0.0347436	< -0.0444716	< 0.0342379	≥ 0.0432133	< 0.0525043	< 0.0549996	< -0.0669247	≥ 0.0027569	Ribo	YIL052C
< -2.46131	< -0.323711	< 0.125754	< 0.0172426	< 0.116722	< -0.0670098	≥ -0.0921005	< -0.0103348	≥ -0.103436	≥ -0.0742138	≥ 0.0567379	< 0.0512376	≥ -0.128749	≥ -0.0386652	≥ -0.0530638	≥ -0.067954	< -0.0273938	< 0.0347436	≥ -0.0444716	< 0.0342379	< 0.0432133	≥ 0.0525043	< 0.0549996	< -0.0669247	< 0.0027569	Ribo	YPR132W
< -2.46131	≥ -0.323711	≥ 0.125754	< 0.0172426	< 0.116722	≥ -0.0670098	≥ -0.0921005	< -0.0103348	< -0.103436	< -0.0742138	≥ 0.0567379	≥ 0.0512376	≥ -0.128749	≥ -0.0386652	≥ -0.0530638	< -0.067954	< -0.0273938	≥ 0.0347436	≥ -0.0444716	≥ 0.0342379	≥ 0.0432133	< 0.0525043	≥ 0.0549996	≥ -0.0669247	< 0.0027569	Ribo	YGR118W
< -2.46131	< -0.323711	≥ 0.125754	< 0.0172426	< 0.116722	≥ -0.0670098	≥ -0.0921005	< -0.0103348	≥ -0.103436	≥ -0.0742138	≥ 0.0567379	< 0.0512376	≥ -0.128749	< -0.0386652	≥ -0.0530638	< -0.067954	< -0.0273938	≥ 0.0347436	< -0.0444716	≥ 0.0342379	< 0.0432133	≥ 0.0525043	≥ 0.0549996	≥ -0.0669247	< 0.0027569	Ribo	YGR148C
< -2.46131	≥ -0.323711	< 0.125754	< 0.0172426	< 0.116722	≥ -0.0670098	≥ -0.0921005	≥ -0.0103348	< -0.103436	< -0.0742138	≥ 0.0567379	≥ 0.0512376	< -0.128749	≥ -0.0386652	≥ -0.0530638	< -0.067954	< -0.0273938	< 0.0347436	< -0.0444716	< 0.0342379	< 0.0432133	≥ 0.0525043	≥ 0.0549996	≥ -0.0669247	< 0.0027569	Ribo	YML063W
< -2.46131	< -0.323711	< 0.125754	< 0.0172426	< 0.116722	≥ -0.0670098	≥ -0.0921005	< -0.0103348	< -0.103436	< -0.0742138	≥ 0.0567379	≥ 0.0512376	< -0.128749	≥ -0.0386652	≥ -0.0530638	< -0.067954	< -0.0273938	≥ 0.0347436	< -0.0444716	≥ 0.0342379	≥ 0.0432133	≥ 0.0525043	< 0.0549996	< -0.0669247	< 0.0027569	Ribo	YLR441C
< -2.46131	≥ -0.323711	≥ 0.125754	< 0.0172426	< 0.116722	≥ -0.0670098	< -0.0921005	< -0.0103348	≥ -0.103436	< -0.0742138	≥ 0.0567379	< 0.0512376	≥ -0.128749	≥ -0.0386652	< -0.0530638	< -0.067954	< -0.0273938	≥ 0.0347436	< -0.0444716	≥ 0.0342379	< 0.0432133	≥ 0.0525043	< 0.0549996	< -0.0669247	≥ 0.0027569	Ribo	YGL031C
< -2.46131	≥ -0.323711	< 0.125754	< 0.0172426	< 0.116722	< -0.0670098	< -0.0921005	< -0.0103348	≥ -0.103436	< -0.0742138	< 0.0567379	≥ 0.0512376	≥ -0.128749	< -0.0386652	≥ -0.0530638	< -0.067954	< -0.0273938	< 0.0347436	≥ -0.0444716	< 0.0342379	≥ 0.0432133	≥ 0.0525043	≥ 0.0549996	≥ -0.0669247	< 0.0027569	Ribo	YLR325C
< -2.46131	≥ -0.323711	≥ 0.125754	< 0.0172426	≥ 0.116722	≥ -0.0670098	≥ -0.0921005	< -0.0103348	< -0.103436	< -0.0742138	< 0.0567379	≥ 0.0512376	≥ -0.128749	≥ -0.0386652	≥ -0.0530638	≥ -0.067954	< -0.0273938	< 0.0347436	< -0.0444716	≥ 0.0342379	< 0.0432133	< 0.0525043	< 0.0549996	≥ -0.0669247	< 0.0027569	Ribo	YKL006W
< -2.46131	< -0.323711	≥ 0.125754	< 0.0172426	≥ 0.116722	< -0.0670098	≥ -0.0921005	< -0.0103348	< -0.103436	≥ -0.0742138	≥ 0.0567379	< 0.0512376	≥ -0.128749	< -0.0386652	< -0.0530638	≥ -0.067954	< -0.0273938	< 0.0347436	≥ -0.0444716	≥ 0.0342379	< 0.0432133	< 0.0525043	< 0.0549996	< -0.0669247	< 0.0027569	Ribo	YOR293W
< -2.46131	< -0.323711	< 0.125754	≥ 0.0172426	< 0.116722	< -0.0670098	< -0.0921005	≥ -0.0103348	< -0.103436	≥ -0.0742138	< 0.0567379	≥ 0.0512376	≥ -0.128749	≥ -0.0386652	≥ -0.0530638	≥ -0.067954	< -0.0273938	< 0.0347436	≥ -0.0444716	≥ 0.0342379	≥ 0.0432133	< 0.0525043	< 0.0549996	< -0.0669247	≥ 0.0027569	Ribo	YIL069C
< -2.46131	< -0.323711	< 0.125754	< 0.0172426	< 0.116722	< -0.0670098	< -0.0921005	≥ -0.0103348	< -0.103436	≥ -0.0742138	< 0.0567379	< 0.0512376	≥ -0.128749	≥ -0.0386652	< -0.0530638	≥ -0.067954	< -0.0273938	< 0.0347436	≥ -0.0444716	≥ 0.0342379	≥ 0.0432133	< 0.0525043	< 0.0549996	< -0.0669247	≥ 0.0027569	Ribo	YHR141C
< -2.46131	< -0.323711	< 0.125754	≥ 0.0172426	< 0.116722	< -0.0670098	< -0.0921005	≥ -0.0103348	< -0.103436	≥ -0.0742138	≥ 0.0567379	< 0.0512376	< -0.128749	≥ -0.0386652	< -0.0530638	≥ -0.067954	≥ -0.0273938	≥ 0.0347436	≥ -0.0444716	< 0.0342379	< 0.0432133	< 0.0525043	≥ 0.0549996	< -0.0669247	< 0.0027569	Ribo	YDL082W
< -2.46131	≥ -0.323711	≥ 0.125754	< 0.0172426	≥ 0.116722	< -0.0670098	< -0.0921005	≥ -0.0103348	< -0.103436	≥ -0.0742138	< 0.0567379	< 0.0512376	≥ -0.128749	< -0.0386652	≥ -0.0530638	≥ -0.067954	< -0.0273938	< 0.0347436	< -0.0444716	< 0.0342379	≥ 0.0432133	≥ 0.0525043	< 0.0549996	< -0.0669247	≥ 0.0027569	Ribo	YGR034W
< -2.46131	< -0.323711	< 0.125754	< 0.0172426	≥ 0.116722	≥ -0.0670098	< -0.0921005	< -0.0103348	< -0.103436	< -0.0742138	≥ 0.0567379	≥ 0.0512376	≥ -0.128749	≥ -0.0386652	< -0.0530638	≥ -0.067954	≥ -0.0273938	< 0.0347436	< -0.0444716	< 0.0342379	< 0.0432133	< 0.0525043	< 0.0549996	≥ -0.0669247	≥ 0.0027569	Ribo	YPL143W
≥ -2.46131	< -0.323711	< 0.125754	≥ 0.0172426	≥ 0.116722	≥ -0.0670098	< -0.0921005	< -0.0103348	< -0.103436	≥ -0.0742138	≥ 0.0567379	≥ 0.0512376	< -0.128749	< -0.0386652	< -0.0530638	< -0.067954	≥ -0.0273938	≥ 0.0347436	≥ -0.0444716	≥ 0.0342379	≥ 0.0432133	< 0.0525043	≥ 0.0549996	≥ -0.0669247	≥ 0.0027569	Ribo	YLR061W
≥ -2.46131	< -0.323711	≥ 0.125754	≥ 0.0172426	< 0.116722	≥ -0.0670098	< -0.0921005	≥ -0.0103348	< -0.103436	≥ -0.0742138	≥ 0.0567379	< 0.0512376	≥ -0.128749	≥ -0.0386652	< -0.0530638	< -0.067954	< -0.0273938	< 0.0347436	≥ -0.0444716	≥ 0.0342379	≥ 0.0432133	≥ 0.0525043	< 0.0549996	< -0.0669247	< 0.0027569	Ribo	YOR312C
< -2.46131	< -0.323711	≥ 0.125754	< 0.0172426	≥ 0.116722	< -0.0670098	≥ -0.0921005	≥ -0.0103348	≥ -0.103436	< -0.0742138	≥ 0.0567379	≥ 0.0512376	< -0.128749	≥ -0.0386652	< -0.0530638	≥ -0.067954	< -0.0273938	≥ 0.0347436	≥ -0.0444716	≥ 0.0342379	≥ 0.0432133	< 0.0525043	≥ 0.0549996	≥ -0.0669247	< 0.0027569	Ribo	YDR471W
≥ -2.46131	< -0.323711	< 0.125754	< 0.0172426	≥ 0.116722	< -0.0670098	≥ -0.0921005	< -0.0103348	≥ -0.103436	< -0.0742138	≥ 0.0567379	< 0.0512376	≥ -0.128749	≥ -0.0386652	≥ -0.0530638	≥ -0.067954	≥ -0.0273938	< 0.0347436	< -0.0444716	≥ 0.0342379	< 0.0432133	< 0.0525043	< 0.0549996	≥ -0.0669247	< 0.0027569	Ribo	YNL096C
< -2.46131	< -0.323711	< 0.125754	< 0.0172426	≥ 0.116722	< -0.0670098	< -0.0921005	≥ -0.0103348	≥ -0.103436	< -0.0742138	< 0.0567379	< 0.0512376	≥ -0.128749	≥ -0.0386652	< -0.0530638	< -0.067954	< -0.0273938	< 0.0347436	< -0.0444716	≥ 0.0342379	< 0.0432133	< 0.0525043	≥ 0.0549996	< -0.0669247	< 0.0027569	Ribo	YNL162W
≥ -2.46131	< -0.323711	< 0.125754	< 0.0172426	≥ 0.116722	≥ -0.0670098	≥ -0.0921005	< -0.0103348	≥ -0.103436	≥ -0.0742138	≥ 0.0567379	< 0.0512376	< -0.128749	≥ -0.0386652	≥ -0.0530638	< -0.067954	< -0.0273938	< 0.0347436	≥ -0.0444716	< 0.0342379	< 0.0432133	≥ 0.0525043	< 0.0549996	< -0.0669247	≥ 0.0027569	Ribo	YPL079W
< -2.46131	≥ -0.323711	< 0.125754	< 0.0172426	< 0.116722	≥ -0.0670098	< -0.0921005	≥ -0.0103348	≥ -0.103436	< -0.0742138	≥ 0.0567379	< 0.0512376	< -0.128749	< -0.0386652	< -0.0530638	≥ -0.067954	< -0.0273938	≥ 0.0347436	< -0.0444716	≥ 0.0342379	< 0.0432133	< 0.0525043	< 0.0549996	≥ -0.0669247	< 0.0027569	Ribo	YNL067W
≥ -2.46131	< -0.323711	< 0.125754	≥ 0.0172426	< 0.116722	< -0.0670098	< -0.0921005	≥ -0.0103348	< -0.103436	< -0.0742138	≥ 0.0567379	≥ 0.0512376	< -0.128749	≥ -0.0386652	≥ -0.0530638	< -0.067954	≥ -0.0273938	< 0.0347436	≥ -0.0444716	≥ 0.0342379	≥ 0.0432133	< 0.0525043	≥ 0.0549996	≥ -0.0669247	≥ 0.0027569	Ribo	YPR043W
< -2.46131	< -0.323711	≥ 0.125754	≥ 0.0172426	≥ 0.116722	< -0.0670098	≥ -0.0921005	≥ -0.0103348	< -0.103436	< -0.0742138	≥ 0.0567379	< 0.0512376	< -0.128749	≥ -0.0386652	< -0.0530638	< -0.067954	≥ -0.0273938	< 0.0347436	< -0.0444716	≥ 0.0342379	≥ 0.0432133	< 0.0525043	≥ 0.0549996	< -0.0669247	< 0.0027569	Ribo	YMR242C
< -2.46131	≥ -0.323711	≥ 0.125754	< 0.0172426	≥ 0.116722	< -0.0670098	≥ -0.0921005	< -0.0103348	< -0.103436	≥ -0.0742138	≥ 0.0567379	< 0.0512376	< -0.128749	< -0.0386652	< -0.0530638	< -0.067954	≥ -0.0273938	≥ 0.0347436	< -0.0444716	< 0.0342379	< 0.0432133	< 0.0525043	< 0.0549996	≥ -0.0669247	< 0.0027569	Ribo	YNL302C
< -2.46131	≥ -0.323711	≥ 0.125754	≥ 0.0172426	≥ 0.116722	≥ -0.0670098	< -0.0921005	≥ -0.0103348	≥ -0.103436	< -0.0742138	< 0.0567379	≥ 0.0512376	≥ -0.128749	< -0.0386652	< -0.0530638	< -0.067954	≥ -0.0273938	< 0.0347436	≥ -0.0444716	< 0.0342379	< 0.0432133	≥ 0.0525043	≥ 0.0549996	≥ -0.0669247	≥ 0.0027569	Ribo	YGL123W
< -2.46131	≥ -0.323711	≥ 0.125754	< 0.0172426	≥ 0.116722	≥ -0.0670098	< -0.0921005	≥ -0.0103348	≥ -0.103436	< -0.0742138	≥ 0.0567379	≥ 0.0512376	≥ -0.128749	< -0.0386652	< -0.0530638	< -0.067954	≥ -0.0273938	≥ 0.0347436	≥ -0.0444716	≥ 0.0342379	≥ 0.0432133	≥ 0.0525043	≥ 0.0549996	≥ -0.0669247	≥ 0.0027569	Ribo	YGL103W
< -2.46131	≥ -0.323711	≥ 0.125754	≥ 0.0172426	≥ 0.116722	< -0.0670098	≥ -0.0921005	< -0.0103348	< -0.103436	< -0.0742138	< 0.0567379	≥ 0.0512376	< -0.128749	< -0.0386652	< -0.0530638	≥ -0.067954	≥ -0.0273938	< 0.0347436	< -0.0444716	< 0.0342379	< 0.0432133	≥ 0.0525043	< 0.0549996	≥ -0.0669247	< 0.0027569	Ribo	YGL135W
< -2.46131	≥ -0.323711	≥ 0.125754	< 0.0172426	≥ 0.116722	≥ -0.0670098	< -0.0921005	< -0.0103348	< -0.103436	< -0.0742138	< 0.0567379	≥ 0.0512376	≥ -0.128749	≥ -0.0386652	< -0.0530638	≥ -0.067954	≥ -0.0273938	< 0.0347436	≥ -0.0444716	< 0.0342379	< 0.0432133	≥ 0.0525043	≥ 0.0549996	≥ -0.0669247	≥ 0.0027569	Ribo	YPL220W
< -2.46131	≥ -0.323711	≥ 0.125754	≥ 0.0172426	≥ 0.116722	< -0.0670098	< -0.0921005	≥ -0.0103348	< -0.103436	< -0.0742138	< 0.0567379	≥ 0.0512376	≥ -0.128749	≥ -0.0386652	≥ -0.0530638	≥ -0.067954	< -0.0273938	< 0.0347436	≥ -0.0444716	< 0.0342379	< 0.0432133	≥ 0.0525043	≥ 0.0549996	≥ -0.0669247	< 0.0027569	Ribo	YEL054C
< -2.46131	≥ -0.323711	≥ 0.125754	< 0.0172426	≥ 0.116722	< -0.0670098	< -0.0921005	≥ -0.0103348	< -0.103436	< -0.0742138	≥ 0.0567379	≥ 0.0512376	≥ -0.128749	< -0.0386652	< -0.0530638	< -0.067954	≥ -0.0273938	≥ 0.0347436	≥ -0.0444716	≥ 0.0342379	≥ 0.0432133	≥ 0.0525043	≥ 0.0549996	≥ -0.0669247	≥ 0.0027569	Ribo	YOL127W
< -2.46131	≥ -0.323711	≥ 0.125754	< 0.0172426	< 0.116722	≥ -0.0670098	≥ -0.0921005	< -0.0103348	≥ -0.103436	≥ -0.0742138	≥ 0.0567379	< 0.0512376	< -0.128749	< -0.0386652	< -0.0530638	< -0.067954	≥ -0.0273938	< 0.0347436	≥ -0.0444716	≥ 0.0342379	≥ 0.0432133	≥ 0.0525043	≥ 0.0549996	≥ -0.0669247	≥ 0.0027569	Ribo	YGL147C
< -2.46131	< -0.323711	< 0.125754	≥ 0.0172426	≥ 0.116722	≥ -0.0670098	< -0.0921005	< -0.0103348	≥ -0.103436	≥ -0.0742138	< 0.0567379	< 0.0512376	< -0.128749	≥ -0.0386652	≥ -0.0530638	≥ -0.067954	< -0.0273938	< 0.0347436	< -0.0444716	≥ 0.0342379	< 0.0432133	≥ 0.0525043	≥ 0.0549996	≥ -0.0669247	≥ 0.0027569	Ribo	YDR064W
< -2.46131	≥ -0.323711	≥ 0.125754	≥ 0.0172426	≥ 0.116722	< -0.0670098	≥ -0.0921005	< -0.0103348	< -0.103436	≥ -0.0742138	≥ 0.0567379	≥ 0.0512376	≥ -0.128749	< -0.0386652	< -0.0530638	< -0.067954	< -0.0273938	< 0.0347436	< -0.0444716	≥ 0.0342379	≥ 0.0432133	≥ 0.0525043	≥ 0.0549996	≥ -0.0669247	≥ 0.0027569	Ribo	YHR010W
< -2.46131	≥ -0.323711	≥ 0.125754	≥ 0.0172426	≥ 0.116722	< -0.0670098	< -0.0921005	≥ -0.0103348	≥ -0.103436	≥ -0.0742138	≥ 0.0567379	≥ 0.0512376	≥ -0.128749	≥ -0.0386652	≥ -0.0530638	< -0.067954	< -0.0273938	< 0.0347436	≥ -0.0444716	≥ 0.0342379	≥ 0.0432133	≥ 0.0525043	< 0.0549996	≥ -0.0669247	≥ 0.0027569	Ribo	YER117W
< -2.46131	≥ -0.323711	≥ 0.125754	≥ 0.0172426	≥ 0.116722	≥ -0.0670098	< -0.0921005	≥ -0.0103348	≥ -0.103436	< -0.0742138	< 0.0567379	≥ 0.0512376	< -0.128749	< -0.0386652	< -0.0530638	≥ -0.067954	< -0.0273938	≥ 0.0347436	≥ -0.0444716	< 0.0342379	< 0.0432133	≥ 0.0525043	≥ 0.0549996	< -0.0669247	< 0.0027569	Ribo	YOR063W
< -2.46131	≥ -0.323711	≥ 0.125754	≥ 0.0172426	≥ 0.116722	< -0.0670098	≥ -0.0921005	< -0.0103348	< -0.103436	≥ -0.0742138	≥ 0.0567379	< 0.0512376	≥ -0.128749	≥ -0.0386652	< -0.0530638	≥ -0.067954	≥ -0.0273938	≥ 0.0347436	< -0.0444716	≥ 0.0342379	≥ 0.0432133	≥ 0.0525043	≥ 0.0549996	< -0.0669247	≥ 0.0027569	Ribo	YDL075W
< -2.46131	≥ -0.323711	≥ 0.125754	≥ 0.0172426	≥ 0.116722	≥ -0.0670098	< -0.0921005	≥ -0.0103348	≥ -0.103436	< -0.0742138	< 0.0567379	≥ 0.0512376	< -0.128749	< -0.0386652	≥ -0.0530638	≥ -0.067954	< -0.0273938	≥ 0.0347436	≥ -0.0444716	< 0.0342379	< 0.0432133	< 0.0525043	< 0.0549996	≥ -0.0669247	≥ 0.0027569	Ribo	YOL120C
≥ -2.46131	< -0.323711	< 0.125754	≥ 0.0172426	≥ 0.116722	≥ -0.0670098	< -0.0921005	≥ -0.0103348	< -0.103436	≥ -0.0742138	< 0.0567379	≥ 0.0512376	< -0.128749	< -0.0386652	< -0.0530638	≥ -0.067954	≥ -0.0273938	≥ 0.0347436	≥ -0.0444716	< 0.0342379	≥ 0.0432133	< 0.0525043	≥ 0.0549996	≥ -0.0669247	≥ 0.0027569	Ribo	YCR031C
≥ -2.46131	≥ -0.323711	< 0.125754	≥ 0.0172426	≥ 0.116722	≥ -0.0670098	< -0.0921005	< -0.0103348	< -0.103436	< -0.0742138	< 0.0567379	≥ 0.0512376	≥ -0.128749	≥ -0.0386652	≥ -0.0530638	≥ -0.067954	≥ -0.0273938	≥ 0.0347436	< -0.0444716	< 0.0342379	≥ 0.0432133	< 0.0525043	≥ 0.0549996	< -0.0669247	< 0.0027569	Ribo	YOL039W
≥ -2.46131	≥ -0.323711	≥ 0.125754	≥ 0.0172426	≥ 0.116722	≥ -0.0670098	≥ -0.0921005	≥ -0.0103348	< -0.103436	< -0.0742138	< 0.0567379	≥ 0.0512376	≥ -0.128749	≥ -0.0386652	≥ -0.0530638	≥ -0.067954	≥ -0.0273938	≥ 0.0347436	< -0.0444716	< 0.0342379	< 0.0432133	≥ 0.0525043	≥ 0.0549996	< -0.0669247	≥ 0.0027569	Ribo	YDR012W
≥ -2.46131	≥ -0.323711	< 0.125754	≥ 0.0172426	≥ 0.116722	≥ -0.0670098	≥ -0.0921005	≥ -0.0103348	≥ -0.103436	≥ -0.0742138	< 0.0567379	≥ 0.0512376	≥ -0.128749	< -0.0386652	≥ -0.0530638	≥ -0.067954	< -0.0273938	≥ 0.0347436	≥ -0.0444716	< 0.0342379	≥ 0.0432133	< 0.0525043	≥ 0.0549996	< -0.0669247	< 0.0027569	Ribo	YBR031W
≥ -2.46131	≥ -0.323711	< 0.125754	≥ 0.0172426	≥ 0.116722	≥ -0.0670098	≥ -0.0921005	< -0.0103348	< -0.103436	≥ -0.0742138	< 0.0567379	≥ 0.0512376	< -0.128749	< -0.0386652	≥ -0.0530638	≥ -0.067954	≥ -0.0273938	< 0.0347436	< -0.0444716	< 0.0342379	< 0.0432133	< 0.0525043	≥ 0.0549996	≥ -0.0669247	< 0.0027569	Ribo	YLR340W
< -2.46131	≥ -0.323711	≥ 0.125754	≥ 0.0172426	≥ 0.116722	≥ -0.0670098	≥ -0.0921005	≥ -0.0103348	< -0.103436	≥ -0.0742138	< 0.0567379	< 0.0512376	≥ -0.128749	< -0.0386652	≥ -0.0530638	≥ -0.067954	≥ -0.0273938	≥ 0.0347436	< -0.0444716	< 0.0342379	≥ 0.0432133	≥ 0.0525043	≥ 0.0549996	< -0.0669247	< 0.0027569	Ribo	YDL081C
< -2.46131	≥ -0.323711	≥ 0.125754	≥ 0.0172426	≥ 0.116722	≥ -0.0670098	< -0.0921005	≥ -0.0103348	< -0.103436	< -0.0742138	< 0.0567379	≥ 0.0512376	≥ -0.128749	< -0.0386652	≥ -0.0530638	≥ -0.067954	< -0.0273938	< 0.0347436	≥ -0.0444716	< 0.0342379	< 0.0432133	< 0.0525043	≥ 0.0549996	≥ -0.0669247	< 0.0027569	Ribo	YDR382W
≥ -2.46131	< -0.323711	< 0.125754	< 0.0172426	≥ 0.116722	≥ -0.0670098	< -0.0921005	≥ -0.0103348	≥ -0.103436	≥ -0.0742138	≥ 0.0567379	< 0.0512376	< -0.128749	≥ -0.0386652	≥ -0.0530638	≥ -0.067954	< -0.0273938	< 0.0347436	< -0.0444716	< 0.0342379	< 0.0432133	< 0.0525043	≥ 0.0549996	≥ -0.0669247	< 0.0027569	Ribo	YLR344W
< -2.46131	< -0.323711	≥ 0.125754	< 0.0172426	≥ 0.116722	< -0.0670098	≥ -0.0921005	≥ -0.0103348	≥ -0.103436	≥ -0.0742138	≥ 0.0567379	< 0.0512376	< -0.128749	< -0.0386652	< -0.0530638	≥ -0.067954	≥ -0.0273938	≥ 0.0347436	< -0.0444716	≥ 0.0342379	≥ 0.0432133	< 0.0525043	≥ 0.0549996	< -0.0669247	≥ 0.0027569	Ribo	YBL092W
≥ -2.46131	< -0.323711	< 0.125754	< 0.0172426	< 0.116722	< -0.0670098	< -0.0921005	< -0.0103348	< -0.103436	≥ -0.0742138	≥ 0.0567379	≥ 0.0512376	< -0.128749	≥ -0.0386652	≥ -0.0530638	< -0.067954	< -0.0273938	≥ 0.0347436	≥ -0.0444716	< 0.0342379	≥ 0.0432133	< 0.0525043	< 0.0549996	< -0.0669247	≥ 0.0027569	Ribo	YKL156W
≥ -2.46131	< -0.323711	< 0.125754	≥ 0.0172426	≥ 0.116722	≥ -0.0670098	< -0.0921005	< -0.0103348	< -0.103436	≥ -0.0742138	≥ 0.0567379	< 0.0512376	≥ -0.128749	< -0.0386652	< -0.0530638	≥ -0.067954	< -0.0273938	< 0.0347436	< -0.0444716	< 0.0342379	≥ 0.0432133	≥ 0.0525043	≥ 0.0549996	≥ -0.0669247	≥ 0.0027569	Ribo	YDL130W
≥ -2.46131	< -0.323711	< 0.125754	< 0.0172426	< 0.116722	≥ -0.0670098	< -0.0921005	< -0.0103348	< -0.103436	< -0.0742138	< 0.0567379	≥ 0.0512376	≥ -0.128749	≥ -0.0386652	< -0.0530638	< -0.067954	≥ -0.0273938	≥ 0.0347436	≥ -0.0444716	< 0.0342379	< 0.0432133	≥ 0.0525043	≥ 0.0549996	≥ -0.0669247	< 0.0027569	Ribo	YHR021C
< -2.46131	< -0.323711	≥ 0.125754	< 0.0172426	≥ 0.116722	< -0.0670098	≥ -0.0921005	< -0.0103348	< -0.103436	< -0.0742138	< 0.0567379	≥ 0.0512376	≥ -0.128749	≥ -0.0386652	< -0.0530638	< -0.067954	≥ -0.0273938	≥ 0.0347436	≥ -0.0444716	≥ 0.0342379	≥ 0.0432133	< 0.0525043	≥ 0.0549996	< -0.0669247	≥ 0.0027569	Ribo	YDL191W
≥ -2.46131	< -0.323711	< 0.125754	< 0.0172426	≥ 0.116722	< -0.0670098	≥ -0.0921005	≥ -0.0103348	≥ -0.103436	≥ -0.0742138	< 0.0567379	≥ 0.0512376	< -0.128749	< -0.0386652	≥ -0.0530638	< -0.067954	< -0.0273938	< 0.0347436	< -0.0444716	≥ 0.0342379	≥ 0.0432133	≥ 0.0525043	≥ 0.0549996	< -0.0669247	≥ 0.0027569	Ribo	YDL136W
≥ -2.46131	< -0.323711	< 0.125754	< 0.0172426	≥ 0.116722	< -0.0670098	≥ -0.0921005	< -0.0103348	≥ -0.103436	< -0.0742138	≥ 0.0567379	< 0.0512376	≥ -0.128749	< -0.0386652	≥ -0.0530638	< -0.067954	≥ -0.0273938	≥ 0.0347436	≥ -0.0444716	< 0.0342379	≥ 0.0432133	≥ 0.0525043	≥ 0.0549996	≥ -0.0669247	≥ 0.0027569	Ribo	YLR406C
≥ -2.46131	< -0.323711	≥ 0.125754	≥ 0.0172426	≥ 0.116722	≥ -0.0670098	< -0.0921005	< -0.0103348	≥ -0.103436	≥ -0.0742138	≥ 0.0567379	< 0.0512376	≥ -0.128749	≥ -0.0386652	≥ -0.0530638	< -0.067954	≥ -0.0273938	< 0.0347436	< -0.0444716	≥ 0.0342379	< 0.0432133	≥ 0.0525043	≥ 0.0549996	≥ -0.0669247	≥ 0.0027569	Proteas	YHR027C
≥ -2.46131	< -0.323711	≥ 0.125754	< 0.0172426	≥ 0.116722	≥ -0.0670098	< -0.0921005	≥ -0.0103348	≥ -0.103436	< -0.0742138	≥ 0.0567379	≥ 0.0512376	≥ -0.128749	≥ -0.0386652	< -0.0530638	≥ -0.067954	< -0.0273938	≥ 0.0347436	< -0.0444716	< 0.0342379	≥ 0.0432133	< 0.0525043	< 0.0549996	≥ -0.0669247	< 0.0027569	Proteas	YDL020C
≥ -2.46131	≥ -0.323711	< 0.125754	< 0.0172426	≥ 0.116722	≥ -0.0670098	< -0.0921005	< -0.0103348	≥ -0.103436	< -0.0742138	≥ 0.0567379	≥ 0.0512376	≥ -0.128749	< -0.0386652	≥ -0.0530638	≥ -0.067954	≥ -0.0273938	< 0.0347436	≥ -0.0444716	≥ 0.0342379	≥ 0.0432133	≥ 0.0525043	< 0.0549996	≥ -0.0669247	< 0.0027569	Resp	YDL067C
≥ -2.46131	≥ -0.323711	< 0.125754	≥ 0.0172426	≥ 0.116722	< -0.0670098	< -0.0921005	< -0.0103348	≥ -0.103436	≥ -0.0742138	< 0.0567379	< 0.0512376	≥ -0.128749	≥ -0.0386652	< -0.0530638	< -0.067954	≥ -0.0273938	< 0.0347436	< -0.0444716	< 0.0342379	< 0.0432133	< 0.0525043	≥ 0.0549996	< -0.0669247	< 0.0027569	Resp	YGR183C
≥ -2.46131	< -0.323711	< 0.125754	≥ 0.0172426	≥ 0.116722	≥ -0.0670098	≥ -0.0921005	≥ -0.0103348	≥ -0.103436	< -0.0742138	< 0.0567379	< 0.0512376	< -0.128749	< -0.0386652	< -0.0530638	< -0.067954	≥ -0.0273938	≥ 0.0347436	≥ -0.0444716	≥ 0.0342379	< 0.0432133	≥ 0.0525043	≥ 0.0549996	≥ -0.0669247	< 0.0027569	Resp	YPR191W
≥ -2.46131	≥ -0.323711	< 0.125754	≥ 0.0172426	≥ 0.116722	≥ -0.0670098	≥ -0.0921005	< -0.0103348	≥ -0.103436	≥ -0.0742138	≥ 0.0567379	< 0.0512376	< -0.128749	≥ -0.0386652	< -0.0530638	≥ -0.067954	< -0.0273938	≥ 0.0347436	< -0.0444716	≥ 0.0342379	< 0.0432133	< 0.0525043	< 0.0549996	< -0.0669247	< 0.0027569	Resp	YKL148C
